Docnumber;WCprocessor;Email;Baselinedate;Days1;DocDate;FI/MM;Paymentblock;Vendor;Reference;Currency;Gross;Discountamount;Disc.percent1;Termsofpayment;PostingDate;Workflowdescription
3322321;PRUGGEGE;test@test.de;05.12.2016;0;27.10.2016;MM;R;110050;524470185;EUR;91,45;0,00;0,000;ZFK0;27.10.2016;Tolerance limit exceeded
3322323;PRUGGEGE;test@test.de;05.12.2016;0;27.10.2016;MM;R;110050;524470181;EUR;33,05;0,00;0,000;ZFK0;27.10.2016;Tolerance limit exceeded
3322324;PRUGGEGE;test@test.de;05.12.2016;0;27.10.2016;MM;R;110050;524470189;EUR;67,25;0,00;0,000;ZFK0;27.10.2016;Tolerance limit exceeded
3322326;PRUGGEGE;test@test.de;05.12.2016;0;27.10.2016;MM;R;110050;524470193;EUR;43,32;0,00;0,000;ZFK0;27.10.2016;Tolerance limit exceeded
3322328;PRUGGEGE;test@test.de;05.12.2016;0;27.10.2016;MM;R;110050;524470196;EUR;63,34;0,00;0,000;ZFK0;27.10.2016;Tolerance limit exceeded
3322329;PRUGGEGE;test@test.de;05.12.2016;0;27.10.2016;MM;R;110050;524470203;EUR;11,67;0,00;0,000;ZFK0;27.10.2016;Tolerance limit exceeded
3322331;PRUGGEGE;test@test.de;05.12.2016;0;27.10.2016;MM;R;110050;524470199;EUR;108,87;0,00;0,000;ZFK0;27.10.2016;Tolerance limit exceeded
3322332;PRUGGEGE;test@test.de;05.12.2016;0;27.10.2016;MM;R;110050;524470157;EUR;1,08;0,00;0,000;ZFK0;27.10.2016;Tolerance limit exceeded
3322334;PRUGGEGE;test@test.de;05.12.2016;0;27.10.2016;MM;R;110050;524470168;EUR;34,30;0,00;0,000;ZFK0;27.10.2016;Tolerance limit exceeded
3322336;PRUGGEGE;test@test.de;05.12.2016;0;27.10.2016;MM;R;110050;524470163;EUR;26,88;0,00;0,000;ZFK0;27.10.2016;Tolerance limit exceeded
3322338;PRUGGEGE;test@test.de;05.12.2016;0;27.10.2016;MM;R;110050;524470171;EUR;211,91;0,00;0,000;ZFK0;27.10.2016;Tolerance limit exceeded
3322340;PRUGGEGE;test@test.de;05.12.2016;0;27.10.2016;MM;R;110050;524470176;EUR;24,44;0,00;0,000;ZFK0;27.10.2016;Tolerance limit exceeded
3322341;PRUGGEGE;test@test.de;05.12.2016;0;27.10.2016;MM;R;110050;524470140;EUR;52,09;0,00;0,000;ZFK0;27.10.2016;Tolerance limit exceeded
3322342;PRUGGEGE;test@test.de;05.12.2016;0;27.10.2016;MM;R;110050;524470137;EUR;23,54;0,00;0,000;ZFK0;27.10.2016;Tolerance limit exceeded
3322343;PRUGGEGE;test@test.de;05.12.2016;0;27.10.2016;MM;R;110050;524470149;EUR;745,48;0,00;0,000;ZFK0;27.10.2016;Tolerance limit exceeded
3321502;PRUGGEGE;test@test.de;05.12.2016;0;27.10.2016;MM;R;184200;9460068889;EUR;2.421,83;0,00;0,000;ZFK0;28.10.2016;Tolerance limit exceeded
